Plant	Long	Lat	Local	Ano	Altura	DAP	N_folhas	Compri_folha	N_pinas	Compri_pina	Largura_pina	F_T	F_Casca	F_Polpa	F_Endo	F_Sem	S_T	S_Casca	S_Polpa	S_Endo	S_Sem	U_T	U_Casca	U_Polpa	U_Endo	U_Sem	OC
119	-48.321.722	-22.148.500	2	1	5.9	26.1	24	2.51	37	69.33	1.8	70.59	19.08	35.4	14.94	6.65	44.53	11.35	17.82	11.37	3.99	26.05	7.73	17.58	3.58	2.66	39.35
120	-48.321.806	-22.148.500	2	1	8.9	34.6	21	2.4	41	60.67	2.03	82.81	15.85	45.51	17.08	3.69	49.4	10.56	21.03	14.64	3.17	33.42	5.3	24.49	2.44	0.52	38.5
121	-48.321.806	-22.148.472	2	1	2.8	33.1	21	3.1	40	71	2.33	77.56	16.38	40	15.93	4.26	46.67	9.68	20.18	13.39	3.41	30.89	6.7	19.82	2.54	0.85	32.23
122	-48.321.833	-22.148.556	2	1	10.7	31.1	22	2.73	35	67	2.27	79.9	22.7	36.51	13.8	4	44.23	12.6	18.98	10.35	2.29	35.67	10.09	17.53	3.45	1.71	33.17
123	-48.321.861	-22.148.556	2	1	13.8	34.6	17	2.71	33	61.67	2.3	67.6	15.78	34.05	12.39	4.44	41.25	10.22	17.11	10.33	3.59	26.35	5.56	16.95	2.06	0.85	32.97
124	-48.321.944	-22.148.528	2	1	10.8	27.3	18	2.99	38	93.67	2.67	99.02	20.6	51.81	19.86	5.7	61.94	11.9	28.7	16.73	4.61	37.09	8.7	23.11	3.12	1.09	34.15
125	-48.321.889	-22.148.722	2	1	3.5	49.6	25	2.6	37	76	2.33	74.21	22.2	35.37	12.93	3.24	40.14	11.53	15.42	10.75	2.45	34.07	10.67	19.96	2.18	0.79	42.3
126	-48.321.806	-22.148.722	2	1	6.3	29.9	25	3.6	39	70	2.4	64.95	15.4	31.66	13.22	4.66	41.74	9.57	17.21	11.24	3.73	23.21	5.83	14.45	1.98	0.93	45.53
127	-48.321.722	-22.148.750	2	1	6.7	22.9	25	2.36	39	71.33	1.57	88.51	24.26	42.78	15.95	3.57	49.16	13.11	19.91	13.24	2.9	39.35	11.15	22.87	2.71	0.67	38.6
128	-48.322.028	-22.148.917	2	1	9.5	34	26	2.81	35	73.33	2.37	58.67	13.59	29.64	12.45	3.33	34.69	7.36	14.55	10.04	2.74	23.99	6.23	15.09	2.41	0.59	40.53
129	-48.322.056	-22.148.944	2	1	8.4	33.4	22	2.91	32	79	1.83	89.41	21.65	43.93	18.53	3.5	52.56	10.42	23.59	15.75	2.79	36.85	11.23	20.34	2.78	0.71	53.8
130	-48.322.028	-22.148.972	2	1	8.8	30.2	17	2.53	38	60.67	2	96.02	22.72	46.17	20.41	4.97	57	12.45	23.62	16.94	4	39.02	10.27	22.55	3.47	0.98	45.73
131	-48.322.028	-22.148.944	2	1	9.7	29.9	20	2.86	34	79	2.1	75.61	17.62	39.13	13.95	3.68	47.62	10.92	21.51	11.93	3.26	27.99	6.7	17.61	2.02	0.42	38.4
132	-48.328.333	-22.158.333	3	1	4.8	35	26	2.75	31	60	2	60.86	15	27.87	12.45	3.48	34.22	7.31	13.49	10.51	2.91	26.64	7.69	14.38	1.94	0.57	NA
133	-48.328.333	-22.158.278	3	1	6.4	31.8	25	2.72	31	68	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
134	-48.328.417	-22.158.306	3	1	8	30.5	23	2.91	34	66.33	1.87	54.02	11.04	27.93	11.94	2.45	32.92	6.51	14.52	9.93	1.96	21.1	4.53	13.42	2.01	0.49	NA
135	-48.328.194	-22.158.056	3	1	7.8	33.1	28	2.52	30	78	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.4
136	-48.328.111	-22.158.056	3	1	9.3	33.7	23	2.41	30	68	1.8	98.56	25.12	52.31	15.66	4.36	63.11	15.93	30.14	13.24	3.8	35.45	9.19	22.16	2.43	0.56	42.47
